"magnitude","accelaration","status","depth","water_depth","total_stress","effective_stress","test_value","CSR","type"
7.4,0.4,"Yes",7,1.68,138.2,85,31,0.37,"SPT"
7.4,0.4,"Yes",8,1.68,159.8,96.6,35,0.37,"SPT"
7.4,0.4,"Yes",1.8,1.5,28.7,25.7,3,0.28,"SPT"
7.4,0.4,"Yes",2.6,1.5,43.2,32.2,4,0.33,"SPT"
7.4,0.4,"No",4.2,1.5,72.9,45.9,11,0.38,"SPT"
7.4,0.4,"No",5,1.5,88.4,53.4,18,0.39,"SPT"
7.4,0.4,"Yes",6,1.5,107.8,62.8,48,0.4,"SPT"
7.4,0.4,"Yes",7.4,1.5,138.1,79.1,20,0.4,"SPT"
7.4,0.4,"No",9.6,1.5,180.3,99.3,13,0.4,"SPT"
7.4,0.4,"No",1.7,1.34,28.9,25.3,3,0.28,"SPT"
7.4,0.4,"Yes",3.3,1.34,58,38.4,9,0.37,"SPT"
7.4,0.4,"Yes",4.9,1.34,88.2,52.6,10,0.4,"SPT"
7.4,0.4,"Yes",5.7,1.34,104,60.4,47,0.4,"SPT"
7.4,0.4,"No",6.5,1.34,119.5,67.9,16,0.41,"SPT"
7.4,0.4,"Yes",7.6,1.34,139.7,77.1,7,0.41,"SPT"
7.4,0.4,"No",9,1.34,165.6,89,9,0.41,"SPT"
7.4,0.4,"No",3.8,1.3,68.2,43.2,10,0.38,"SPT"
7.4,0.4,"No",4.6,1.3,82.8,49.8,4,0.4,"SPT"
7.4,0.4,"Yes",5.5,1.3,99.7,57.7,24,0.41,"SPT"
7.4,0.4,"No",6.7,1.3,122.5,68.5,12,0.41,"SPT"
7.4,0.4,"Yes",7.7,1.3,140.5,76.5,6,0.42,"SPT"
7.4,0.4,"No",9.8,1.3,182.3,97.3,23,0.41,"SPT"
7.4,0.4,"Yes",1.4,0.44,23.9,14.3,4,0.42,"SPT"
7.4,0.4,"Yes",2.4,0.44,41.8,22.2,2,0.47,"SPT"
7.4,0.4,"Yes",3.5,0.44,61.5,30.9,3,0.48,"SPT"
7.4,0.4,"No",4.4,0.44,78.9,39.3,7,0.48,"SPT"
7.4,0.4,"Yes",3,0.44,51.8,26.7,1,0.47,"SPT"
7.4,0.4,"Yes",5.1,0.44,90.8,44.2,5,0.49,"SPT"
7.4,0.4,"Yes",6,0.44,107.3,51.7,55,0.48,"SPT"
7.4,0.4,"Yes",7,0.44,129,63.4,44,0.47,"SPT"
7.4,0.4,"No",1,0.96,15.1,14.7,3,0.26,"SPT"
7.4,0.4,"No",1.8,0.96,29.9,21.5,1,0.35,"SPT"
7.4,0.4,"Yes",2.5,0.96,42.3,26.9,16,0.39,"SPT"
7.4,0.4,"No",1,0.96,15.1,14.7,6,0.26,"SPT"
7.4,0.4,"No",1.9,0.96,31.1,22.2,4,0.35,"SPT"
7.4,0.4,"Yes",2.6,0.96,47.3,30.9,4,0.38,"SPT"
7.4,0.4,"Yes",3.3,0.96,60.3,36.9,7,0.4,"SPT"
7.4,0.4,"Yes",1.1,1.69,21.6,21.6,1,0.25,"SPT"
7.4,0.4,"No",1.9,1.69,36.1,34,2,0.26,"SPT"
7.4,0.4,"Yes",2.7,1.69,48,37.9,2,0.31,"SPT"
7.4,0.4,"No",3.4,1.69,61,43.9,9,0.34,"SPT"
7.4,0.4,"Yes",4.4,1.69,82.5,55.4,30,0.36,"SPT"
7.4,0.4,"Yes",5.5,1.69,107.3,69.2,30,0.36,"SPT"
7.4,0.4,"Yes",7.5,1.69,147.2,89.1,36,0.38,"SPT"
7.4,0.4,"Yes",10,1.69,194.3,111.2,8,0.38,"SPT"
7.4,0.4,"Yes",2.6,1.9,42.6,35.6,3,0.29,"SPT"
7.4,0.4,"Yes",3.3,1.9,55.6,41.6,3,0.33,"SPT"
7.4,0.4,"Yes",4.1,1.9,70,48,25,0.35,"SPT"
7.4,0.4,"Yes",5.2,1.9,95,62,30,0.36,"SPT"
7.4,0.4,"Yes",7,1.9,136.1,85.1,31,0.37,"SPT"
7.4,0.4,"No",3.2,2.28,52.1,42.9,5,0.3,"SPT"
7.4,0.4,"No",3.8,2.28,63.8,48.6,11,0.32,"SPT"
7.4,0.4,"No",4.6,2.28,80.6,57.4,22,0.33,"SPT"
7.4,0.4,"No",1.6,0.5,28.5,17.5,10,0.41,"SPT"
7.4,0.4,"No",2.9,0.5,52.9,28.9,7,0.45,"SPT"
7.4,0.4,"Yes",3.8,0.5,68.5,35.5,4,0.47,"SPT"
7.4,0.4,"No",5.4,0.5,98.4,49.4,11,0.47,"SPT"
7.4,0.4,"Yes",6.4,0.5,118.4,59.4,38,0.46,"SPT"
7.4,0.4,"No",8.8,0.5,167.1,84.1,13,0.44,"SPT"
7.4,0.4,"No",2.2,0.44,41.2,23.6,9,0.43,"SPT"
7.4,0.4,"No",1.6,0.35,28.9,16.4,18,0.44,"SPT"
7.4,0.4,"No",2.4,0.35,46.4,25.9,4,0.44,"SPT"
7.4,0.4,"No",3.2,0.35,61.3,32.8,9,0.46,"SPT"
7.4,0.4,"Yes",4,0.35,75.1,38.6,4,0.47,"SPT"
7.4,0.4,"Yes",5.4,0.35,101,50.5,24,0.47,"SPT"
7.4,0.4,"Yes",1,0.74,15.8,13.2,9,0.3,"SPT"
7.4,0.4,"No",2.9,0.74,55.3,33.7,4,0.4,"SPT"
7.4,0.4,"Yes",4,0.74,75.6,43,5,0.42,"SPT"
7.4,0.4,"Yes",4.8,0.74,90,49.4,12,0.43,"SPT"
7.4,0.4,"No",6.1,0.74,114,60.4,12,0.44,"SPT"
7.4,0.4,"Yes",7,0.74,132.1,69.5,31,0.44,"SPT"
7.4,0.4,"Yes",7.9,0.74,150.4,78.8,44,0.43,"SPT"
7.4,0.4,"Yes",8.8,0.74,169.1,88.5,44,0.42,"SPT"
7.4,0.4,"Yes",1.1,0.8,17.9,14.9,4,0.3,"SPT"
7.4,0.4,"No",3,0.8,53.2,31.2,6,0.42,"SPT"
7.4,0.4,"Yes",3.8,0.8,68,38,4,0.43,"SPT"
7.4,0.4,"Yes",4.6,0.8,82.6,44.6,4,0.44,"SPT"
7.4,0.4,"No",5.5,0.8,99.5,52.5,24,0.45,"SPT"
7.4,0.4,"Yes",6.5,0.8,119.6,62.6,38,0.44,"SPT"
7.4,0.4,"No",8,0.8,148.1,76.1,18,0.44,"SPT"
7.4,0.4,"No",9.1,0.8,169.3,86.3,15,0.43,"SPT"
7.4,0.4,"Yes",1.2,0.6,20,14,3,0.36,"SPT"
7.4,0.4,"No",2,0.6,34.7,20.7,7,0.42,"SPT"
7.4,0.4,"No",2.8,0.6,49.6,27.6,9,0.44,"SPT"
7.4,0.4,"Yes",3.6,0.6,64.2,34.2,3,0.45,"SPT"
7.4,0.4,"Yes",4.4,0.6,78.6,40.6,5,0.46,"SPT"
7.4,0.4,"No",5.2,0.6,94.5,48.5,18,0.46,"SPT"
7.4,0.4,"Yes",6,0.6,110.6,56.6,36,0.46,"SPT"
7.4,0.4,"No",6.8,0.6,126.1,64.1,15,0.45,"SPT"
7.4,0.4,"No",8.3,0.6,154.7,77.7,10,0.45,"SPT"
7.4,0.4,"Yes",10.2,0.6,193,97,27,0.43,"SPT"
7.4,0.4,"No",1.8,0.84,30.6,21,4,0.36,"SPT"
7.4,0.4,"No",2.7,0.84,47.5,28.9,12,0.4,"SPT"
7.4,0.4,"Yes",4,0.84,70.3,38.7,4,0.44,"SPT"
7.4,0.4,"No",5.2,0.84,93.9,50.3,20,0.44,"SPT"
7.4,0.4,"No",6.3,0.84,114.3,59.7,21,0.44,"SPT"
7.4,0.4,"No",7.1,0.84,129.5,66.9,13,0.44,"SPT"
7.4,0.4,"Yes",8.4,0.84,153.2,77.6,11,0.44,"SPT"
7.4,0.4,"No",3.5,0.75,63.1,35.6,8,0.43,"SPT"
7.4,0.4,"No",5.5,0.75,101,53.5,7,0.44,"SPT"
7.4,0.4,"Yes",6.5,0.75,119,61.5,36,0.45,"SPT"
7.4,0.4,"Yes",9,0.75,165.1,82.6,7,0.44,"SPT"
7.4,0.4,"No",1.2,0.4,20.6,12.6,3,0.41,"SPT"
7.4,0.4,"No",2,0.4,36.1,20.1,6,0.45,"SPT"
7.4,0.4,"No",2.8,0.4,50.7,26.7,8,0.47,"SPT"
7.4,0.4,"Yes",3.8,0.4,69.1,35.1,5,0.48,"SPT"
7.4,0.4,"No",4.4,0.4,79.9,39.9,7,0.48,"SPT"
7.4,0.4,"Yes",1.2,1.72,20,20,3,0.25,"SPT"
7.4,0.4,"No",2.2,1.72,39.9,35.1,15,0.28,"SPT"
7.4,0.4,"Yes",3,1.72,54.1,41.3,3,0.32,"SPT"
7.4,0.4,"Yes",3.8,1.72,68.2,47.4,3,0.35,"SPT"
7.4,0.4,"Yes",4.9,1.72,88.8,57,5,0.37,"SPT"
7.4,0.4,"No",5.7,1.72,104,64.2,14,0.38,"SPT"
7.4,0.4,"No",6.5,1.72,118.6,70.8,8,0.39,"SPT"
7.4,0.4,"Yes",7.3,1.72,133.2,77.4,9,0.39,"SPT"
7.4,0.4,"No",8.5,1.72,154.6,86.8,7,0.4,"SPT"
7.4,0.4,"No",9.9,1.72,181.7,99.9,9,0.4,"SPT"
7.4,0.4,"Yes",11,1.72,202,109.2,7,0.4,"SPT"
7.4,0.4,"Yes",1,1.64,15,15,7,0.25,"SPT"
7.4,0.4,"No",1.8,1.64,30.6,29,5,0.26,"SPT"
7.4,0.4,"No",2.6,1.64,45.6,36,6,0.31,"SPT"
7.4,0.4,"Yes",3.6,1.64,64,44.4,3,0.35,"SPT"
7.4,0.4,"No",4.5,1.64,81.2,52.6,12,0.37,"SPT"
7.4,0.4,"No",5.4,1.64,98.9,61.3,18,0.38,"SPT"
7.4,0.4,"No",6.2,1.64,113.8,68.2,16,0.39,"SPT"
7.4,0.4,"No",7,1.64,129.6,76,14,0.39,"SPT"
7.4,0.4,"No",8,1.64,148.9,85.3,13,0.39,"SPT"
7.4,0.4,"Yes",9,1.64,167.4,93.8,11,0.4,"SPT"
7.4,0.4,"Yes",10,1.64,186.2,102.6,10,0.39,"SPT"
7.4,0.4,"Yes",12,1.64,225,121.4,27,0.39,"SPT"
7.4,0.4,"Yes",1.5,0.54,25.4,15.8,4,0.4,"SPT"
7.4,0.4,"No",2.3,0.54,40.5,22.9,9,0.44,"SPT"
7.4,0.4,"No",3.1,0.54,55.2,29.6,5,0.45,"SPT"
7.4,0.4,"Yes",4,0.54,71.9,37.3,5,0.46,"SPT"
7.4,0.4,"Yes",4.8,0.54,87.5,44.9,13,0.46,"SPT"
7.4,0.4,"No",5.6,0.54,102.4,51.8,10,0.46,"SPT"
7.4,0.4,"No",7,0.54,129.9,65.3,12,0.46,"SPT"
7.4,0.4,"No",8,0.54,148.4,73.8,7,0.45,"SPT"
7.4,0.4,"Yes",9,0.54,167.2,82.6,9,0.45,"SPT"
7.4,0.4,"No",2.5,0.45,42.4,21.9,13,0.48,"SPT"
7.4,0.4,"No",5.2,0.45,92.8,45.3,8,0.48,"SPT"
7.4,0.4,"No",6,0.45,107.5,52,18,0.48,"SPT"
7.4,0.4,"No",8.5,0.45,153.6,73.1,9,0.47,"SPT"
7.4,0.4,"Yes",11,0.45,201.9,96.4,9,0.45,"SPT"
7.4,0.4,"Yes",12,0.45,220.3,104.8,28,0.44,"SPT"
7.4,0.4,"Yes",14,0.45,258.2,122.7,12,0.43,"SPT"
7.4,0.4,"Yes",2,10,37.3,37.3,30,0.25,"SPT"
7.4,0.4,"Yes",3.5,10,66.2,66.2,14,0.24,"SPT"
7.4,0.4,"Yes",5,10,91.2,91.2,13,0.24,"SPT"
7.4,0.4,"Yes",6.6,10,122,122,8,0.23,"SPT"
7.4,0.4,"Yes",8,10,146.7,146.7,48,0.23,"SPT"
7.4,0.4,"No",2.3,1.5,38.3,30.3,5,0.31,"SPT"
7.4,0.4,"Yes",3.4,1.5,56.8,38.3,4,0.36,"SPT"
7.4,0.4,"No",4.1,1.5,71.2,45.2,9,0.38,"SPT"
7.4,0.4,"Yes",5,1.5,84.6,50.1,6,0.4,"SPT"
7.4,0.4,"No",5.8,1.5,99.6,56.6,10,0.41,"SPT"
7.4,0.4,"Yes",6.8,1.5,117.9,65.4,43,0.41,"SPT"
7.4,0.4,"Yes",7.9,1.5,138.8,74.8,40,0.42,"SPT"
7.4,0.4,"Yes",9,1.5,157,82.5,50,0.42,"SPT"
7.4,0.4,"Yes",0.9,0.95,13.7,13.7,7,0.25,"SPT"
7.4,0.4,"No",1.7,0.95,27.8,20.3,6,0.34,"SPT"
7.4,0.4,"No",2.6,0.95,43.7,27.2,6,0.4,"SPT"
7.4,0.4,"Yes",3.7,0.95,61,33.5,4,0.44,"SPT"
7.4,0.4,"No",4.8,0.95,79.5,41.5,4,0.46,"SPT"
7.4,0.4,"Yes",5.8,0.95,97.2,49.2,5,0.46,"SPT"
7.4,0.4,"No",6.7,0.95,113.9,56.4,17,0.46,"SPT"
7.4,0.4,"Yes",8,0.95,134.4,63.9,6,0.47,"SPT"
7.4,0.4,"Yes",9.1,0.95,151.6,70.1,9,0.48,"SPT"
7.4,0.4,"Yes",5,0.9,85.2,44.7,1,0.45,"SPT"
7.4,0.4,"Yes",7,0.9,117.4,56.4,1,0.48,"SPT"
7.4,0.4,"Yes",4.4,1.1,82.7,49.7,4,0.4,"SPT"
7.4,0.4,"Yes",6.3,1.1,116.3,64.3,5,0.42,"SPT"
7.4,0.4,"Yes",7.4,1.1,134.8,72.3,4,0.42,"SPT"
7.4,0.4,"Yes",10.5,1.1,190.5,96.5,10,0.43,"SPT"
7.4,0.4,"Yes",3.8,1.2,65.7,39.7,1,0.4,"SPT"
7.4,0.4,"Yes",7.5,1.2,131,68,13,0.44,"SPT"
7.4,0.4,"Yes",1,1.11,15,15,8,0.25,"SPT"
7.4,0.4,"Yes",2.2,1.11,38.1,27.2,9,0.35,"SPT"
7.4,0.4,"No",3.5,1.11,62.9,39,9,0.39,"SPT"
7.4,0.4,"Yes",4.5,1.11,81.1,47.2,8,0.41,"SPT"
7.4,0.4,"Yes",5.5,1.11,100.4,56.5,17,0.42,"SPT"
7.4,0.4,"Yes",7,1.11,128.8,69.9,9,0.42,"SPT"
7.4,0.4,"Yes",8,1.11,147.5,78.6,3,0.42,"SPT"
7.4,0.4,"No",9,1.11,166.5,87.6,5,0.42,"SPT"
7.4,0.4,"Yes",1.2,2.4,18.2,18.2,12,0.25,"SPT"
7.4,0.4,"Yes",2.2,2.4,35.9,35.9,4,0.25,"SPT"
7.4,0.4,"Yes",3,2.4,51.2,45.2,7,0.28,"SPT"
7.4,0.4,"No",3.8,2.4,66.2,52.2,7,0.31,"SPT"
7.4,0.4,"Yes",5,2.4,88.7,62.7,5,0.33,"SPT"
7.4,0.4,"No",5.8,2.4,103.6,69.6,10,0.35,"SPT"
7.4,0.4,"No",6.6,2.4,119.3,77.3,7,0.36,"SPT"
7.4,0.4,"No",7.6,2.4,141.6,89.6,7,0.36,"SPT"
7.4,0.4,"No",8.5,2.4,159,98,9,0.36,"SPT"
7.4,0.4,"No",9.5,2.4,178.1,107.1,4,0.37,"SPT"
7.4,0.4,"No",1.9,0.37,22.8,7.5,14,0.76,"SPT"
7.4,0.4,"Yes",2.8,0.37,38.9,14.6,5,0.65,"SPT"
7.4,0.4,"No",3.8,0.37,57.7,23.4,6,0.6,"SPT"
7.4,0.4,"No",5,0.37,80.6,34.3,21,0.56,"SPT"
7.4,0.4,"No",6.2,0.37,103.8,45.5,15,0.53,"SPT"
7.4,0.4,"No",7.2,0.37,123.3,55,21,0.51,"SPT"
7.4,0.4,"Yes",8.4,0.37,148,67.7,31,0.49,"SPT"
7.4,0.4,"Yes",9.2,0.37,162.2,73.9,7,0.48,"SPT"
7.4,0.4,"No",2.8,2.6,26.8,24.9,6,0.25,"SPT"
7.4,0.4,"Yes",3.3,2.6,47.9,40.9,4,0.28,"SPT"
7.4,0.4,"No",4,2.6,61.4,47.4,8,0.31,"SPT"
7.4,0.4,"Yes",4.9,2.6,77.6,54.6,6,0.34,"SPT"
7.4,0.4,"No",5.7,2.6,92.2,61.2,10,0.35,"SPT"
7.4,0.4,"Yes",6.7,2.6,112.7,71.7,42,0.36,"SPT"
7.4,0.4,"Yes",7.7,2.6,133,82,39,0.37,"SPT"
7.4,0.4,"Yes",8.9,2.6,160.1,97.1,47,0.37,"SPT"
7.4,0.4,"No",1.4,0.74,23.4,16.8,2,0.35,"SPT"
7.4,0.4,"No",2.5,0.74,43.9,26.3,6,0.41,"SPT"
7.4,0.4,"No",3.3,0.74,59,33.4,6,0.43,"SPT"
7.4,0.4,"No",4.2,0.74,75.4,40.8,5,0.44,"SPT"
7.4,0.4,"Yes",5,0.74,91.5,48.9,6,0.44,"SPT"
7.4,0.4,"No",5.7,0.74,105.5,55.9,14,0.44,"SPT"
7.4,0.4,"Yes",6.5,0.74,122.1,64.5,45,0.44,"SPT"
7.4,0.4,"Yes",7.5,0.74,142.7,75.1,39,0.43,"SPT"
7.4,0.4,"Yes",8.5,0.74,161.1,83.5,7,0.43,"SPT"
7.4,0.4,"No",1.4,0.62,23.9,16.1,3,0.37,"SPT"
7.4,0.4,"No",2.3,0.62,41.9,25.1,7,0.41,"SPT"
7.4,0.4,"Yes",3.2,0.62,58.7,32.9,6,0.43,"SPT"
7.4,0.4,"No",4,0.62,73.4,39.6,4,0.45,"SPT"
7.4,0.4,"No",5,0.62,93,49.2,6,0.45,"SPT"
7.4,0.4,"Yes",6,0.62,111.4,57.6,10,0.45,"SPT"
7.4,0.4,"Yes",6.8,0.62,126.1,64.3,13,0.45,"SPT"
7.4,0.4,"No",8,0.62,150.2,76.4,9,0.44,"SPT"
7.4,0.4,"Yes",9.2,0.62,172.9,87.1,4,0.44,"SPT"
7.4,0.4,"Yes",1,0.92,17.6,16.8,7,0.26,"SPT"
7.4,0.4,"No",2,0.92,36.6,25.8,3,0.35,"SPT"
7.4,0.4,"No",3,0.92,55,34.2,7,0.39,"SPT"
7.4,0.4,"No",4,0.92,73.3,42.5,7,0.42,"SPT"
7.4,0.4,"Yes",5,0.92,91.3,50.5,4,0.43,"SPT"
7.4,0.4,"No",5.8,0.92,106.4,57.6,7,0.43,"SPT"
7.4,0.4,"No",6.7,0.92,122.9,65.1,5,0.43,"SPT"
7.4,0.4,"Yes",8,0.92,146.6,75.8,7,0.44,"SPT"
7.4,0.4,"Yes",9.2,0.92,170.8,88,32,0.43,"SPT"
7.4,0.4,"Yes",10,0.92,187.1,96.3,45,0.42,"SPT"
7.4,0.4,"Yes",1,0.77,18.1,8.1,5,0.56,"SPT"
7.4,0.4,"Yes",1.8,0.77,32.5,14.5,5,0.56,"SPT"
7.4,0.4,"No",2.9,0.77,53,24,5,0.54,"SPT"
7.4,0.4,"No",4,0.77,73.7,33.7,3,0.53,"SPT"
7.4,0.4,"No",5,0.77,92.9,42.9,16,0.51,"SPT"
7.4,0.4,"No",6.1,0.77,114.6,53.6,16,0.5,"SPT"
7.4,0.4,"Yes",7.5,0.77,142.6,67.6,38,0.48,"SPT"
7.4,0.4,"Yes",8.5,0.77,162.8,77.8,40,0.47,"SPT"
7.4,0.4,"Yes",9.4,0.77,180.9,86.9,34,0.46,"SPT"
7.4,0.4,"No",1.3,0.5,20.5,12.5,5,0.41,"SPT"
7.4,0.4,"No",2.1,0.5,35.7,19.7,11,0.45,"SPT"
7.4,0.4,"No",3,0.5,51.5,26.5,6,0.47,"SPT"
7.4,0.4,"No",4,0.5,69.7,34.7,7,0.48,"SPT"
7.4,0.4,"No",5,0.5,89.3,44.3,15,0.48,"SPT"
7.4,0.4,"No",6,0.5,108.1,53.1,16,0.47,"SPT"
7.4,0.4,"No",7,0.5,126.4,61.4,13,0.47,"SPT"
7.4,0.4,"Yes",8,0.5,144.7,69.7,6,0.47,"SPT"
7.4,0.4,"No",9,0.5,162.9,77.9,8,0.46,"SPT"
7.4,0.4,"Yes",1,1.16,15.5,15.5,3,0.25,"SPT"
7.4,0.4,"No",2,1.16,34.7,26.3,7,0.33,"SPT"
7.4,0.4,"Yes",3,1.16,52.5,34.1,4,0.38,"SPT"
7.4,0.4,"No",3.9,1.16,69.6,42.2,4,0.4,"SPT"
7.4,0.4,"No",5,1.16,91.4,53,15,0.41,"SPT"
7.4,0.4,"No",6,1.16,110.6,62.2,10,0.41,"SPT"
7.4,0.4,"No",7,1.16,128.5,70.1,11,0.42,"SPT"
7.4,0.4,"No",8,1.16,147.7,79.3,13,0.42,"SPT"
7.4,0.4,"No",9,1.16,166.9,88.5,8,0.42,"SPT"
7.4,0.4,"Yes",1,0.64,16.1,12.5,7,0.32,"SPT"
7.4,0.4,"No",2,0.64,34.7,21.1,12,0.41,"SPT"
7.4,0.4,"No",3,0.64,53.9,30.3,3,0.43,"SPT"
7.4,0.4,"Yes",4,0.64,72.3,38.7,5,0.45,"SPT"
7.4,0.4,"No",5,0.64,91.6,48,11,0.45,"SPT"
7.4,0.4,"No",6,0.64,111.2,57.6,12,0.45,"SPT"
7.4,0.4,"No",7,0.64,130.2,66.6,10,0.45,"SPT"
7.4,0.4,"No",8,0.64,147.7,74.1,9,0.45,"SPT"
7.4,0.4,"No",8.8,0.64,162.2,80.6,7,0.45,"SPT"
7.4,0.4,"Yes",9.8,0.64,183.3,91.7,34,0.44,"SPT"
7.4,0.4,"Yes",1.1,1.65,17.7,17.7,11,0.25,"SPT"
7.4,0.4,"No",3.5,1.65,65.5,47,5,0.34,"SPT"
7.4,0.4,"Yes",4.7,1.65,86.2,55.7,6,0.37,"SPT"
7.4,0.4,"Yes",5.8,1.65,108.2,66.7,31,0.38,"SPT"
7.4,0.4,"No",7,1.65,132.5,79,9,0.38,"SPT"
7.4,0.4,"No",8.3,1.65,157.5,91,10,0.39,"SPT"
7.4,0.4,"No",9.2,1.65,174.1,98.6,7,0.39,"SPT"
7.4,0.4,"Yes",10,1.65,190.3,106.8,29,0.39,"SPT"
7.6,0.18,"No",2.8,0.6,55.2,33.6,8,0.19,"SPT"
7.6,0.18,"Yes",4.4,0.6,88.3,51,8,0.2,"SPT"
7.6,0.18,"Yes",5.8,0.6,113.6,62.6,2,0.21,"SPT"
7.6,0.18,"Yes",7.2,0.6,140.5,75.7,10,0.21,"SPT"
7.6,0.18,"Yes",8.8,0.6,168.6,88.2,5,0.21,"SPT"
7.6,0.18,"Yes",10.2,0.6,186.9,96.7,5,0.21,"SPT"
7.6,0.18,"No",11.8,0.6,222.7,112.9,4,0.2,"SPT"
7.6,0.18,"Yes",13.2,0.6,250.5,126.9,18,0.19,"SPT"
7.6,0.18,"No",16.2,0.6,313,160,13,0.17,"SPT"
7.6,0.18,"Yes",17.2,0.6,333.5,170.7,18,0.16,"SPT"
7.6,0.18,"Yes",18.8,0.6,367.5,189,18,0.15,"SPT"
7.6,0.18,"Yes",1.2,0.7,18.8,13.9,6,0.16,"SPT"
7.6,0.18,"No",4.6,0.7,82.5,44.2,8,0.21,"SPT"
7.6,0.18,"Yes",5.6,0.7,101.3,53.2,5,0.22,"SPT"
7.6,0.18,"Yes",9.6,0.7,175.6,88.3,8,0.22,"SPT"
7.6,0.18,"Yes",12.2,0.7,224,111.2,12,0.2,"SPT"
7.6,0.18,"Yes",13.2,0.7,243,120.4,9,0.2,"SPT"
7.6,0.18,"Yes",14.8,0.7,276,137.7,12,0.18,"SPT"
7.6,0.18,"Yes",16.2,0.7,304.3,152.2,12,0.17,"SPT"
7.6,0.18,"Yes",17.2,0.7,324.2,162.4,40,0.16,"SPT"
7.6,0.18,"Yes",1.2,2.5,18.7,18.7,6,0.12,"SPT"
7.6,0.18,"Yes",2.8,2.5,45.7,42.7,6,0.12,"SPT"
7.6,0.18,"Yes",4.2,2.5,72.5,55.9,6,0.15,"SPT"
7.6,0.18,"No",5.8,2.5,103.3,71,4,0.17,"SPT"
7.6,0.18,"Yes",7.2,2.5,129.8,83.7,9,0.17,"SPT"
7.6,0.18,"Yes",8.8,2.5,161.9,100.1,11,0.18,"SPT"
7.6,0.18,"Yes",10.2,2.5,187,111.5,11,0.18,"SPT"
7.6,0.18,"No",11.8,2.5,217.5,126.3,7,0.18,"SPT"
7.6,0.18,"Yes",13.2,2.5,245.4,140.4,8,0.17,"SPT"
7.6,0.18,"Yes",14.8,2.5,273.4,152.8,5,0.16,"SPT"
7.6,0.18,"Yes",16.2,2.5,300.2,165.8,13,0.16,"SPT"
7.6,0.18,"Yes",17.8,2.5,332.6,182.5,12,0.15,"SPT"
7.6,0.18,"Yes",19.2,2.5,358.2,194.4,25,0.14,"SPT"
7.6,0.18,"Yes",2,1.78,30,27.9,7,0.13,"SPT"
7.6,0.18,"No",3.2,1.78,52.9,39,5,0.16,"SPT"
7.6,0.18,"No",4.2,1.78,72,48.2,5,0.17,"SPT"
7.6,0.18,"No",5.8,1.78,100.7,61.2,6,0.19,"SPT"
7.6,0.18,"Yes",10.2,1.78,181.2,98.6,14,0.2,"SPT"
7.6,0.18,"Yes",11.8,1.78,212.3,114,14,0.19,"SPT"
7.6,0.18,"Yes",13.2,1.78,238.1,126.1,18,0.18,"SPT"
7.6,0.18,"Yes",14.8,1.78,270.7,142.9,17,0.17,"SPT"
7.6,0.18,"Yes",16.2,1.78,299.4,157.9,17,0.16,"SPT"
7.6,0.18,"Yes",17.8,1.78,331.9,174.7,10,0.15,"SPT"
7.6,0.18,"Yes",19.2,1.78,360.4,189.5,9,0.14,"SPT"
7.6,0.18,"Yes",1.2,0.85,17,13.6,6,0.15,"SPT"
7.6,0.18,"Yes",3,0.85,49.3,28.2,13,0.2,"SPT"
7.6,0.18,"Yes",4.8,0.85,81.6,42.9,11,0.22,"SPT"
7.6,0.18,"No",6.5,0.85,112.4,57,4,0.22,"SPT"
7.6,0.18,"No",7.5,0.85,131.3,66,7,0.22,"SPT"
7.6,0.18,"Yes",9.2,0.85,163.2,81.3,16,0.22,"SPT"
7.6,0.18,"Yes",12.5,0.85,228.2,113.9,11,0.2,"SPT"
7.6,0.18,"Yes",13.2,0.85,241.1,119.9,7,0.2,"SPT"
7.6,0.18,"Yes",14.8,0.85,269.5,132.6,10,0.19,"SPT"
7.6,0.18,"Yes",16.2,0.85,297.2,146.6,10,0.17,"SPT"
7.6,0.18,"Yes",17.8,0.85,328.7,162.4,16,0.16,"SPT"
7.6,0.18,"No",1.2,0.71,20.7,15.9,4,0.15,"SPT"
7.6,0.18,"Yes",2.8,0.71,52.1,31.6,6,0.19,"SPT"
7.6,0.18,"Yes",4.2,0.71,77.7,43.4,15,0.21,"SPT"
7.6,0.18,"Yes",7,0.71,130.4,68.7,13,0.21,"SPT"
7.6,0.18,"Yes",8.8,0.71,163.9,84.6,8,0.21,"SPT"
7.6,0.18,"No",11.8,0.71,223.4,114.6,7,0.2,"SPT"
7.6,0.18,"No",13.2,0.71,248.9,126.4,10,0.19,"SPT"
7.6,0.18,"No",14.8,0.71,279.5,141.2,12,0.18,"SPT"
7.6,0.18,"Yes",16.5,0.71,313.4,158.5,8,0.17,"SPT"
7.6,0.18,"Yes",17.8,0.71,339.6,172,13,0.16,"SPT"
7.6,0.18,"Yes",19.2,0.71,365.9,184.5,8,0.15,"SPT"
7.6,0.18,"Yes",1.2,1.7,17,17,6,0.12,"SPT"
7.6,0.18,"Yes",2.8,1.7,45.4,34.6,8,0.15,"SPT"
7.6,0.18,"Yes",5,1.7,86.1,53.7,8,0.18,"SPT"
7.6,0.18,"Yes",6.1,1.7,106.9,63.7,14,0.19,"SPT"
7.6,0.18,"Yes",7.2,1.7,130.9,77,15,0.19,"SPT"
7.6,0.18,"Yes",9,1.7,168,96.4,6,0.19,"SPT"
7.6,0.18,"Yes",10.2,1.7,189.3,105.9,8,0.19,"SPT"
7.6,0.18,"No",11.8,1.7,218.8,119.7,10,0.19,"SPT"
