"magnitude","accelaration","status","depth","water_depth","total_stress","effective_stress","test_value","CSR","type"
5.9,0.36,"Yes",4.25,2.5,67.38,50.21,117.1,0.28,"SWV"
5.9,0.06,"NO",3.7,1.4,62.15,39.59,128.7,0.06,"SWV"
5.9,0.2,"Yes",4.4,2,72.41,48.86,98.3,0.17,"SWV"
5.9,0.3,"Yes",4.1,2.7,63.71,49.97,114.6,0.22,"SWV"
5.9,0.27,"Yes",4.65,1.5,79.28,48.38,122.9,0.25,"SWV"
5.9,0.27,"Yes",4.65,1.5,79.28,48.38,136.7,0.25,"SWV"
5.9,0.27,"Yes",4.65,1.5,79.28,48.38,133.6,0.25,"SWV"
7.7,0.2,"Yes",6,1,106.5,57.45,145.2,0.18,"SWV"
7.7,0.23,"Yes",5,1,88,48.76,184.2,0.24,"SWV"
7.7,0.25,"Yes",4,1,69.5,40.07,154.5,0.26,"SWV"
7.7,0.25,"Yes",7.075,1.4,124.59,68.92,164.9,0.19,"SWV"
7.7,0.25,"Yes",4,1.5,67.25,42.73,158.3,0.23,"SWV"
7.7,0.13,"Yes",5.05,1,88.93,49.2,125.9,0.12,"SWV"
7.7,0.12,"Yes",6,1,106.5,57.45,139,0.12,"SWV"
7.7,0.28,"Yes",4.4,0.4,79.6,40.36,123.4,0.27,"SWV"
7,0.12,"Yes",4.4,0.4,79.6,40.36,123.4,0.11,"SWV"
7,0.12,"Yes",6,1,106.5,57.45,139,0.11,"SWV"
6.9,0.5,"Yes",2.85,0.8,49.13,29.02,157.2,0.52,"SWV"
6.9,0.29,"Yes",2,0.8,33.4,21.63,141.7,0.28,"SWV"
6.9,0.46,"NO",2.4,1,39.9,26.17,275.2,0.43,"SWV"
6.9,0.36,"Yes",2.8,1.7,44.06,33.32,123.2,0.29,"SWV"
6.9,0.5,"Yes",2.85,0.8,49.13,29.02,217,0.52,"SWV"
6.9,0.3,"Yes",2.2,1.2,35.3,25.49,156.2,0.26,"SWV"
